YEAR,Obs,95% lower,95% upper
1850,-0.06,"-0.23 ","0.11 "
1851,0.13,"-0.05 ","0.30 "
1852,0.13,"-0.05 ","0.31 "
1853,0.09,"-0.07 ","0.25 "
1854,0.07,"-0.07 ","0.21 "
1855,0.06,"-0.08 ","0.20 "
1856,0.04,"-0.11 ","0.19 "
1857,-0.11,"-0.26 ","0.04 "
1858,-0.03,"-0.18 ","0.12 "
1859,0.08,"-0.06 ","0.22 "
1860,-0.03,"-0.18 ","0.12 "
1861,-0.07,"-0.24 ","0.10 "
1862,-0.18,"-0.34 ","-0.01 "
1863,0.01,"-0.18 ","0.20 "
1864,-0.11,"-0.29 ","0.08 "
1865,0.03,"-0.17 ","0.22 "
1866,0.02,"-0.16 ","0.20 "
1867,0.00,"-0.19 ","0.20 "
1868,0.01,"-0.17 ","0.18 "
1869,0.04,"-0.12 ","0.20 "
1870,0.03,"-0.11 ","0.17 "
1871,-0.01,"-0.16 ","0.14 "
1872,0.03,"-0.10 ","0.17 "
1873,0.02,"-0.11 ","0.15 "
1874,-0.01,"-0.15 ","0.12 "
1875,-0.02,"-0.16 ","0.12 "
1876,-0.07,"-0.20 ","0.07 "
1877,0.26,"0.13 ","0.39 "
1878,0.35,"0.23 ","0.47 "
1879,0.06,"-0.08 ","0.19 "
1880,0.04,"-0.08 ","0.17 "
1881,0.13,"0.00 ","0.25 "
1882,0.06,"-0.06 ","0.19 "
1883,0.01,"-0.10 ","0.13 "
1884,-0.13,"-0.24 ","-0.02 "
1885,-0.11,"-0.22 ","0.00 "
1886,-0.06,"-0.16 ","0.04 "
1887,-0.14,"-0.26 ","-0.02 "
1888,-0.02,"-0.13 ","0.09 "
1889,0.11,"-0.01 ","0.23 "
1890,-0.15,"-0.27 ","-0.02 "
1891,-0.04,"-0.18 ","0.09 "
1892,-0.15,"-0.29 ","-0.01 "
1893,-0.14,"-0.27 ","0.00 "
1894,-0.12,"-0.27 ","0.02 "
1895,-0.09,"-0.22 ","0.04 "
1896,0.07,"-0.06 ","0.21 "
1897,0.10,"-0.04 ","0.24 "
1898,-0.13,"-0.26 ","0.01 "
1899,0.00,"-0.13 ","0.13 "
1900,0.12,"-0.01 ","0.26 "
1901,0.07,"-0.07 ","0.20 "
1902,-0.08,"-0.22 ","0.06 "
1903,-0.17,"-0.30 ","-0.05 "
1904,-0.24,"-0.37 ","-0.11 "
1905,-0.05,"-0.18 ","0.08 "
1906,0.04,"-0.09 ","0.17 "
1907,-0.15,"-0.27 ","-0.02 "
1908,-0.15,"-0.28 ","-0.03 "
1909,-0.18,"-0.29 ","-0.06 "
1910,-0.17,"-0.30 ","-0.05 "
1911,-0.18,"-0.30 ","-0.06 "
1912,-0.12,"-0.23 ","0.00 "
1913,-0.11,"-0.23 ","0.01 "
1914,0.10,"-0.02 ","0.22 "
1915,0.17,"0.04 ","0.30 "
1916,-0.06,"-0.20 ","0.08 "
1917,-0.18,"-0.33 ","-0.03 "
1918,-0.07,"-0.22 ","0.09 "
1919,0.03,"-0.12 ","0.19 "
1920,0.06,"-0.09 ","0.21 "
1921,0.12,"-0.02 ","0.26 "
1922,0.02,"-0.11 ","0.15 "
1923,0.04,"-0.09 ","0.17 "
1924,0.05,"-0.08 ","0.17 "
1925,0.08,"-0.06 ","0.21 "
1926,0.24,"0.11 ","0.37 "
1927,0.13,"0.01 ","0.25 "
1928,0.15,"0.02 ","0.28 "
1929,-0.03,"-0.17 ","0.10 "
1930,0.18,"0.07 ","0.30 "
1931,0.26,"0.15 ","0.36 "
1932,0.21,"0.11 ","0.32 "
1933,0.04,"-0.07 ","0.14 "
1934,0.18,"0.08 ","0.28 "
1935,0.15,"0.06 ","0.25 "
1936,0.19,"0.10 ","0.28 "
1937,0.34,"0.24 ","0.44 "
1938,0.35,"0.25 ","0.44 "
1939,0.32,"0.21 ","0.42 "
1940,0.43,"0.32 ","0.55 "
1941,0.40,"0.20 ","0.60 "
1942,0.36,"0.16 ","0.56 "
1943,0.37,"0.16 ","0.57 "
1944,0.50,"0.30 ","0.70 "
1945,0.40,"0.20 ","0.60 "
1946,0.24,"0.09 ","0.39 "
1947,0.27,"0.13 ","0.41 "
1948,0.23,"0.10 ","0.37 "
1949,0.22,"0.10 ","0.33 "
1950,0.13,"0.03 ","0.24 "
1951,0.30,"0.21 ","0.39 "
1952,0.37,"0.28 ","0.47 "
1953,0.44,"0.34 ","0.53 "
1954,0.24,"0.15 ","0.33 "
1955,0.16,"0.07 ","0.25 "
1956,0.10,"0.02 ","0.17 "
1957,0.32,"0.26 ","0.39 "
1958,0.34,"0.28 ","0.41 "
1959,0.31,"0.25 ","0.37 "
1960,0.24,"0.18 ","0.30 "
1961,0.34,"0.29 ","0.39 "
1962,0.29,"0.24 ","0.35 "
1963,0.32,"0.27 ","0.38 "
1964,0.05,"0.01 ","0.10 "
1965,0.15,"0.11 ","0.20 "
1966,0.21,"0.16 ","0.26 "
1967,0.24,"0.20 ","0.28 "
1968,0.19,"0.15 ","0.23 "
1969,0.33,"0.29 ","0.37 "
1970,0.27,"0.23 ","0.31 "
1971,0.15,"0.11 ","0.19 "
1972,0.27,"0.23 ","0.30 "
1973,0.41,"0.37 ","0.45 "
1974,0.19,"0.15 ","0.22 "
1975,0.25,"0.21 ","0.29 "
1976,0.14,"0.10 ","0.18 "
1977,0.46,"0.42 ","0.51 "
1978,0.36,"0.32 ","0.40 "
1979,0.45,"0.42 ","0.48 "
1980,0.56,"0.52 ","0.59 "
1981,0.61,"0.58 ","0.64 "
1982,0.39,"0.35 ","0.43 "
1983,0.58,"0.55 ","0.62 "
1984,0.41,"0.37 ","0.44 "
1985,0.41,"0.37 ","0.44 "
1986,0.45,"0.42 ","0.49 "
1987,0.60,"0.57 ","0.63 "
1988,0.64,"0.61 ","0.68 "
1989,0.54,"0.50 ","0.57 "
1990,0.72,"0.68 ","0.76 "
1991,0.70,"0.66 ","0.73 "
1992,0.48,"0.45 ","0.52 "
1993,0.52,"0.49 ","0.56 "
1994,0.59,"0.56 ","0.63 "
1995,0.74,"0.70 ","0.77 "
1996,0.64,"0.60 ","0.67 "
1997,0.78,"0.75 ","0.81 "
1998,0.94,"0.90 ","0.97 "
1999,0.68,"0.65 ","0.72 "
2000,0.69,"0.66 ","0.72 "
2001,0.85,"0.82 ","0.88 "
2002,0.90,"0.87 ","0.93 "
2003,0.90,"0.87 ","0.94 "
2004,0.83,"0.79 ","0.86 "
2005,0.97,"0.93 ","1.00 "
2006,0.93,"0.90 ","0.96 "
2007,0.95,"0.92 ","0.98 "
2008,0.82,"0.79 ","0.86 "
2009,0.96,"0.92 ","0.99 "
2010,1.04,"1.01 ","1.07 "
2011,0.90,"0.86 ","0.93 "
2012,0.94,"0.90 ","0.97 "
2013,0.98,"0.95 ","1.02 "
2014,1.03,"1.00 ","1.07 "
2015,1.18,"1.15 ","1.22 "
2016,1.29,"1.26 ","1.32 "
2017,1.20,"1.17 ","1.23 "
2018,1.12,"1.09 ","1.15 "
2019,1.25,"1.22 ","1.28 "
2020,1.28,"1.25 ","1.32 "
2021,1.12,"1.08 ","1.16 "
