YEAR,CO2,CH4,other WMGs,O3,Aerosol radiation,Aerosol cloud,Other anthropogenic,Land use,Solar,Volcanic aerosols in Strat.,User Defined Forcing,TOTAL
1750,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.00,0.30
1751,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.20,0.00,0.29
1752,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.05,0.20,0.00,0.26
1753,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.20,0.00,0.22
1754,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.20,0.00,0.18
1755,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.17,0.00,0.14
1756,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.08,0.00,-0.11
1757,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.03,0.07,0.00,0.04
1758,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.00,0.19
1759,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.00,0.27
1760,0.01,0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.09,0.19,0.00,0.30
1761,0.02,0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.09,0.20,0.00,0.30
1762,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.06,-0.81,0.00,-0.72
1763,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-0.50,0.00,-0.44
1764,0.02,0.01,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,-0.05,0.00,-0.02
1765,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.12,0.00,0.11
1766,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.20,0.00,-0.22
1767,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,-0.04,-0.26,0.00,-0.26
1768,0.03,0.01,0.00,0.01,0.00,-0.01,0.00,0.00,0.02,0.03,0.00,0.07
1769,0.03,0.01,0.00,0.01,0.00,-0.01,0.00,0.00,0.09,0.14,0.00,0.26
1770,0.03,0.01,0.00,0.01,0.00,-0.01,0.00,0.00,0.12,0.03,0.00,0.19
1771,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.11,0.09,0.00,0.25
1772,0.03,0.01,0.00,0.01,0.00,0.01,0.00,-0.01,0.09,0.16,0.00,0.30
1773,0.03,0.01,0.00,0.01,0.00,0.00,0.00,-0.01,0.05,0.19,0.00,0.29
1774,0.03,0.01,0.00,0.01,0.00,-0.01,0.00,-0.01,0.01,0.20,0.00,0.25
1775,0.04,0.01,0.00,0.01,0.00,0.00,0.00,-0.01,-0.03,0.20,0.00,0.22
1776,0.04,0.01,0.00,0.01,0.00,0.00,0.00,-0.01,-0.05,0.20,0.00,0.21
1777,0.04,0.01,0.00,0.01,0.00,-0.01,0.00,-0.01,-0.04,0.20,0.00,0.21
1778,0.04,0.01,0.00,0.01,0.00,-0.01,0.00,-0.01,0.00,0.20,0.00,0.25
1779,0.04,0.01,0.00,0.01,0.00,0.00,0.00,-0.01,0.07,0.20,0.00,0.33
1780,0.04,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,0.12,0.20,0.00,0.37
1781,0.04,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,0.12,0.20,0.00,0.38
1782,0.05,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,0.09,0.20,0.00,0.35
1783,0.05,0.02,0.00,0.01,0.00,0.00,0.00,-0.01,0.05,-1.79,0.00,-1.67
1784,0.05,0.02,0.00,0.01,0.00,0.00,0.00,-0.01,0.01,-3.88,0.00,-3.79
1785,0.05,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,-0.03,-1.48,0.00,-1.43
1786,0.05,0.02,0.00,0.01,0.00,0.00,0.00,-0.01,-0.04,-0.55,0.00,-0.52
1787,0.05,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,-0.03,-0.11,0.00,-0.07
1788,0.05,0.02,0.00,0.01,0.00,-0.02,0.00,-0.01,0.04,0.09,0.00,0.19
1789,0.05,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,0.12,0.16,0.00,0.35
1790,0.06,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,0.14,0.19,0.00,0.41
1791,0.06,0.02,0.00,0.01,0.00,0.00,0.00,-0.01,0.13,0.20,0.00,0.41
1792,0.06,0.02,0.00,0.01,0.00,0.00,0.00,-0.01,0.11,0.20,0.00,0.40
1793,0.06,0.02,0.00,0.01,0.00,0.00,0.00,-0.01,0.08,0.20,0.00,0.37
1794,0.06,0.02,0.00,0.01,0.00,-0.01,0.00,-0.01,0.05,0.20,0.00,0.32
