YEAR,SSP,CO2,CH4,other WMGs,O3,Aerosol radiation,Aerosol cloud,Other anthropogenic,Land use,Solar,Volcanic aerosols in Strat.
2014,SSP1-19,"1.98 ","0.53 ","0.59 ","0.47 ","-0.25 ","-0.94 ","0.18 ","-0.20 ","0.06 ","0.14 "
2015,SSP1-19,"2.01 ","0.53 ","0.60 ","0.46 ","-0.23 ","-0.89 ","0.19 ","-0.20 ","0.03 ","0.12 "
2016,SSP1-19,"2.06 ","0.54 ","0.60 ","0.45 ","-0.22 ","-0.89 ","0.19 ","-0.20 ","-0.01 ","0.11 "
2017,SSP1-19,"2.10 ","0.54 ","0.60 ","0.44 ","-0.21 ","-0.88 ","0.19 ","-0.20 ","-0.02 ","0.10 "
2018,SSP1-19,"2.14 ","0.55 ","0.61 ","0.44 ","-0.21 ","-0.88 ","0.19 ","-0.20 ","-0.02 ","0.08 "
2019,SSP1-19,"2.18 ","0.55 ","0.61 ","0.43 ","-0.20 ","-0.85 ","0.19 ","-0.20 ","-0.02 ","0.07 "
2020,SSP1-19,"2.22 ","0.55 ","0.61 ","0.42 ","-0.20 ","-0.81 ","0.18 ","-0.20 ","-0.02 ","0.06 "
2021,SSP1-19,"2.25 ","0.55 ","0.61 ","0.41 ","-0.19 ","-0.77 ","0.17 ","-0.20 ","0.02 ","0.04 "
2022,SSP1-19,"2.29 ","0.55 ","0.62 ","0.39 ","-0.19 ","-0.73 ","0.17 ","-0.20 ","0.06 ","0.03 "
2023,SSP1-19,"2.32 ","0.55 ","0.62 ","0.37 ","-0.18 ","-0.69 ","0.16 ","-0.20 ","0.08 ","0.01 "
2024,SSP1-19,"2.36 ","0.55 ","0.62 ","0.36 ","-0.18 ","-0.65 ","0.15 ","-0.20 ","0.09 ","0.00 "
2025,SSP1-19,"2.38 ","0.55 ","0.62 ","0.34 ","-0.18 ","-0.61 ","0.15 ","-0.20 ","0.07 ","0.00 "
2026,SSP1-19,"2.41 ","0.54 ","0.62 ","0.32 ","-0.17 ","-0.57 ","0.14 ","-0.20 ","0.04 ","0.00 "
2027,SSP1-19,"2.43 ","0.54 ","0.61 ","0.30 ","-0.17 ","-0.52 ","0.13 ","-0.20 ","0.02 ","0.00 "
2028,SSP1-19,"2.45 ","0.53 ","0.61 ","0.29 ","-0.17 ","-0.48 ","0.12 ","-0.21 ","0.01 ","0.00 "
2029,SSP1-19,"2.47 ","0.52 ","0.61 ","0.27 ","-0.16 ","-0.43 ","0.12 ","-0.21 ","-0.01 ","0.00 "
2030,SSP1-19,"2.49 ","0.52 ","0.60 ","0.25 ","-0.16 ","-0.39 ","0.11 ","-0.21 ","-0.02 ","0.00 "
2031,SSP1-19,"2.50 ","0.51 ","0.60 ","0.25 ","-0.16 ","-0.38 ","0.11 ","-0.21 ","-0.03 ","0.00 "
2032,SSP1-19,"2.51 ","0.50 ","0.59 ","0.24 ","-0.16 ","-0.36 ","0.10 ","-0.21 ","-0.02 ","0.00 "
2033,SSP1-19,"2.52 ","0.49 ","0.59 ","0.23 ","-0.16 ","-0.35 ","0.10 ","-0.21 ","0.00 ","0.00 "
2034,SSP1-19,"2.53 ","0.48 ","0.58 ","0.23 ","-0.16 ","-0.34 ","0.10 ","-0.21 ","0.04 ","0.00 "
2035,SSP1-19,"2.54 ","0.48 ","0.58 ","0.22 ","-0.16 ","-0.33 ","0.10 ","-0.21 ","0.04 ","0.00 "
2036,SSP1-19,"2.55 ","0.47 ","0.57 ","0.21 ","-0.16 ","-0.32 ","0.09 ","-0.21 ","0.06 ","0.00 "
2037,SSP1-19,"2.56 ","0.46 ","0.57 ","0.21 ","-0.16 ","-0.31 ","0.09 ","-0.21 ","0.04 ","0.00 "
2038,SSP1-19,"2.56 ","0.45 ","0.56 ","0.20 ","-0.16 ","-0.30 ","0.09 ","-0.21 ","0.04 ","0.00 "
2039,SSP1-19,"2.56 ","0.44 ","0.56 ","0.20 ","-0.16 ","-0.29 ","0.09 ","-0.21 ","0.01 ","0.00 "
2040,SSP1-19,"2.56 ","0.44 ","0.55 ","0.19 ","-0.16 ","-0.28 ","0.08 ","-0.21 ","-0.01 ","0.00 "
2041,SSP1-19,"2.56 ","0.43 ","0.55 ","0.19 ","-0.16 ","-0.27 ","0.08 ","-0.21 ","-0.03 ","0.00 "
2042,SSP1-19,"2.56 ","0.42 ","0.54 ","0.18 ","-0.16 ","-0.26 ","0.08 ","-0.21 ","-0.03 ","0.00 "
2043,SSP1-19,"2.56 ","0.41 ","0.54 ","0.18 ","-0.16 ","-0.26 ","0.08 ","-0.21 ","-0.03 ","0.00 "
2044,SSP1-19,"2.56 ","0.41 ","0.54 ","0.17 ","-0.16 ","-0.25 ","0.07 ","-0.21 ","-0.02 ","0.00 "
2045,SSP1-19,"2.56 ","0.40 ","0.53 ","0.16 ","-0.16 ","-0.24 ","0.07 ","-0.21 ","0.02 ","0.00 "
2046,SSP1-19,"2.55 ","0.39 ","0.53 ","0.16 ","-0.16 ","-0.23 ","0.07 ","-0.21 ","0.04 ","0.00 "
